data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
50/50;10;True;100;97;0.97;50;48;1;0.96;50;49;2;0.98;181980;93636;0.5145400593471811;154296;79868;13916;0.5176284543993364;27684;13768;74428;0.4973269758705389;
50/50;20;False;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;81227;0.44635124738982307;154296;64759;11216;0.41970627884066986;27684;16468;89537;0.5948562346481723;
50/50;20;True;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;87134;0.4788108583360809;154296;71932;12482;0.46619484626950797;27684;15202;82364;0.5491258488657709;
50/50;25;False;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;70703;0.3885207165622596;154296;51974;8955;0.33684606211437756;27684;18729;102322;0.6765279583875162;
50/50;25;True;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;76559;0.42070007693153094;154296;59283;10408;0.38421605226318245;27684;17276;95013;0.6240427683860714;
50/50;30;False;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;61383;0.33730629739531814;154296;41017;7318;0.2658332037123451;27684;20366;113279;0.7356595867649184;
50/50;30;True;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;65781;0.3614737883283877;154296;46415;8318;0.3008179084357339;27684;19366;107881;0.6995376390694986;
50/50;50;False;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;36114;0.19845037916254535;154296;10199;1769;0.06610022294809975;27684;25915;144097;0.9361002745268024;
50/50;50;True;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;36171;0.19876360039564786;154296;10268;1781;0.06654741535749469;27684;25903;144028;0.9356668111544575;
50/50;100;False;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;27966;0.15367622815694032;154296;347;65;0.0022489241457976875;27684;27619;153949;0.9976520733997977;
50/50;100;True;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;27966;0.15367622815694032;154296;347;65;0.0022489241457976875;27684;27619;153949;0.9976520733997977;
75/75;1;False;150;79;0.5266666666666666;75;4;0;0.05333333333333334;75;75;71;1.0;181930;34454;0.18938053097345134;154271;8047;1252;0.052161456138872506;27659;26407;146224;0.9547344444846162;
75/75;1;True;150;89;0.5933333333333334;75;54;40;0.72;75;35;21;0.4666666666666667;181930;100952;0.554894739735063;154271;87861;14568;0.5695237601363834;27659;13091;66410;0.4732998300733938;
75/75;2;False;150;83;0.5533333333333333;75;8;0;0.10666666666666667;75;75;67;1.0;181930;40291;0.22146429945583465;154271;14696;2064;0.095260936922688;27659;25595;139575;0.9253769116743193;
75/75;2;True;150;97;0.6466666666666666;75;57;35;0.76;75;40;18;0.5333333333333333;181930;104487;0.5743252899466827;154271;92049;15221;0.5966707936034641;27659;12438;62222;0.4496908781951625;
75/75;4;False;150;101;0.6733333333333333;75;26;0;0.3466666666666667;75;75;49;1.0;181930;53407;0.2935579618534601;154271;30395;4647;0.1970234198261501;27659;23012;123876;0.8319895874760476;
75/75;4;True;150;119;0.7933333333333333;75;63;19;0.84;75;56;12;0.7466666666666667;181930;105986;0.5825647226955423;154271;94064;15737;0.6097322244621478;27659;11922;60207;0.43103510611374235;
75/75;5;False;150;111;0.74;75;36;0;0.48;75;75;39;1.0;181930;64190;0.3528280107733744;154271;43415;6884;0.2814203576822604;27659;20775;110856;0.7511117538595032;
75/75;5;True;150;123;0.82;75;64;16;0.8533333333333334;75;59;11;0.7866666666666666;181930;99146;0.5449678447754631;154271;85823;14336;0.5563132409850199;27659;13323;68448;0.4816876965906215;
75/75;7;False;150;126;0.84;75;51;0;0.68;75;75;24;1.0;181930;66693;0.3665860495795086;154271;46659;7625;0.302448289049789;27659;20034;107612;0.7243211974402546;
75/75;7;True;150;134;0.8933333333333333;75;68;9;0.9066666666666666;75;66;7;0.88;181930;98141;0.5394437420986093;154271;84781;14299;0.5495588931166584;27659;13360;69490;0.4830254166817311;
75/75;10;False;150;137;0.9133333333333333;75;62;0;0.8266666666666667;75;75;13;1.0;181930;74709;0.41064695212444347;154271;56386;9336;0.36549967265396605;27659;18323;97885;0.6624606818757005;
75/75;10;True;150;143;0.9533333333333334;75;72;4;0.96;75;71;3;0.9466666666666667;181930;94215;0.5178640136316166;154271;79967;13411;0.5183540652488154;27659;14248;74304;0.5151306988683612;
75/75;20;False;150;148;0.9866666666666667;75;73;0;0.9733333333333334;75;75;2;1.0;181930;84883;0.46656955972077174;154271;69020;11796;0.44739452003292907;27659;15863;85251;0.5735203731154416;
75/75;20;True;150;149;0.9933333333333333;75;74;0;0.9866666666666667;75;75;1;1.0;181930;95746;0.5262793382070027;154271;82153;14066;0.5325239351530748;27659;13593;72118;0.49144943779601574;
75/75;25;False;150;150;1.0;75;75;0;1.0;75;75;0;1.0;181930;75843;0.4168801187269829;154271;58092;9908;0.3765581347109956;27659;17751;96179;0.6417802523590874;
75/75;25;True;150;150;1.0;75;75;0;1.0;75;75;0;1.0;181930;82141;0.4514978288352663;154271;65781;11299;0.42639899916380913;27659;16360;88490;0.5914892078527785;
75/75;30;False;150;150;1.0;75;75;0;1.0;75;75;0;1.0;181930;68153;0.37461111416478865;154271;48747;8253;0.31598291318523897;27659;19406;105524;0.7016161104884486;
75/75;30;True;150;150;1.0;75;75;0;1.0;75;75;0;1.0;181930;74607;0.4100862969273897;154271;56758;9810;0.3679110137355692;27659;17849;97513;0.645323402870675;
75/75;50;False;150;150;1.0;75;75;0;1.0;75;75;0;1.0;181930;38752;0.21300500192381686;154271;13392;2299;0.0868082789377135;27659;25360;140879;0.9168805813659207;
75/75;50;True;150;150;1.0;75;75;0;1.0;75;75;0;1.0;181930;38844;0.21351069092508107;154271;13500;2315;0.08750834570334022;27659;25344;140771;0.9163021078130085;
75/75;100;False;150;150;1.0;75;75;0;1.0;75;75;0;1.0;181930;28079;0.15433958115758808;154271;509;89;0.003299388738000013;27659;27570;153762;0.9967822408619256;
75/75;100;True;150;150;1.0;75;75;0;1.0;75;75;0;1.0;181930;28079;0.15433958115758808;154271;509;89;0.003299388738000013;27659;27570;153762;0.9967822408619256;
86/14;1;False;100;48;0.48;86;34;0;0.3953488372093023;14;14;52;1.0;181980;76594;0.4208924057588746;154260;60228;11354;0.3904317386231039;27720;16366;94032;0.5904040404040404;
86/14;1;True;100;86;0.86;86;86;14;1.0;14;0;0;0.0;181980;154260;0.847675568743818;154260;154260;27720;1.0;27720;0;0;0.0;
86/14;2;False;100;82;0.82;86;68;0;0.7906976744186046;14;14;18;1.0;181980;123579;0.679080118694362;154260;116480;20621;0.755088811098146;27720;7099;37780;0.2560966810966811;
86/14;2;True;100;87;0.87;86;86;13;1.0;14;1;0;0.07142857142857142;181980;154255;0.8476480931970546;154260;154251;27716;0.9999416569428238;27720;4;9;0.0001443001443001443;
86/14;4;False;100;94;0.94;86;80;0;0.9302325581395349;14;14;6;1.0;181980;142790;0.784646664468623;154260;140187;25117;0.9087709062621548;27720;2603;14073;0.0939033189033189;
86/14;4;True;100;91;0.91;86;86;9;1.0;14;5;0;0.35714285714285715;181980;153924;0.8458292120013188;154260;153859;27655;0.9974004926747051;27720;65;401;0.002344877344877345;
86/14;5;False;100;96;0.96;86;82;0;0.9534883720930233;14;14;4;1.0;181980;143193;0.7868611935377514;154260;140543;25070;0.9110786983015687;27720;2650;13717;0.0955988455988456;
86/14;5;True;100;89;0.89;86;86;11;1.0;14;3;0;0.21428571428571427;181980;153990;0.8461918892185954;154260;153954;27684;0.9980163360560094;27720;36;306;0.0012987012987012987;
86/14;7;False;100;98;0.98;86;84;0;0.9767441860465116;14;14;2;1.0;181980;147213;0.8089515331355094;154260;145661;26168;0.9442564501490989;27720;1552;8599;0.05598845598845599;
86/14;7;True;100;94;0.94;86;86;6;1.0;14;8;0;0.5714285714285714;181980;153115;0.8413836685350038;154260;152858;27463;0.9909114482043303;27720;257;1402;0.00927128427128427;
86/14;10;False;100;100;1.0;86;86;0;1.0;14;14;0;1.0;181980;146201;0.8033904824706012;154260;144525;26044;0.9368922598210813;27720;1676;9735;0.06046176046176046;
86/14;10;True;100;97;0.97;86;86;3;1.0;14;11;0;0.7857142857142857;181980;152457;0.8377678865809429;154260;152075;27338;0.9858356022300013;27720;382;2185;0.01378066378066378;
