data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
100/100;4;True;0.0018215179443359375;3.855109214782715e-05;0.00987386703491211;9.635176689042242e-05;17.528828382492065;200;145;0.725;100;73;28;0.73;100;72;27;0.72;181880;95405;0.5245491532878821;154246;82089;14318;0.5321953243520091;27634;13316;72157;0.4818701599478903;0;0;0;
100/100;5;False;0.002076387405395508;2.8055906295776367e-05;0.009022712707519531;3.72852929377257e-05;6.783837080001831;200;120;0.6;100;100;80;1.0;100;20;0;0.2;181880;143891;0.7911315152848032;154246;141191;24934;0.9153624729328476;27634;2700;13055;0.09770572483172903;0;0;0;
100/100;5;True;0.0025582313537597656;3.791332244873047e-05;0.009654521942138672;3.4018047358771065e-05;6.188384294509888;200;144;0.72;100;81;37;0.81;100;63;19;0.63;181880;106106;0.5833846492192655;154246;94372;15900;0.6118278593934364;27634;11734;59874;0.4246218426575957;0;0;0;
100/100;6;False;0.0025615692138671875;3.447651863098144e-05;0.00814056396484375;4.7505666115322243e-05;8.64453411102295;200;132;0.66;100;100;68;1.0;100;32;0;0.32;181880;135425;0.7445843413239499;154246;130932;23141;0.8488518340832177;27634;4493;23314;0.16258956358109575;0;0;0;
100/100;6;True;0.0022313594818115234;5.199909210205078e-05;0.010730743408203125;3.553306057554354e-05;6.464043140411377;200;160;0.8;100;83;23;0.83;100;77;17;0.77;181880;99975;0.5496756102925006;154246;87182;14841;0.5652140087911518;27634;12793;67064;0.46294419917492946;0;0;0;
100/100;7;False;0.002310514450073242;3.3053159713745115e-05;0.007386684417724609;3.4509524162297514e-05;6.278568744659424;200;146;0.73;100;100;54;1.0;100;46;0;0.46;181880;126091;0.6932647899714097;154246;119994;21537;0.7779391361850551;27634;6097;34252;0.22063400159224145;0;0;0;
100/100;7;True;0.0021746158599853516;3.516674041748047e-05;0.008331775665283203;0.00036651588728959047;66.66367220878601;200;170;0.85;100;82;12;0.82;100;88;18;0.88;181880;88775;0.48809654717396084;154246;73984;12843;0.4796493912321875;27634;14791;80262;0.535246435550409;0;0;0;
100/100;8;False;0.0030651092529296875;3.8220882415771485e-05;0.010801315307617188;6.496112294739253e-05;11.821033716201782;200;162;0.81;100;100;38;1.0;100;62;0;0.62;181880;121978;0.6706509786672531;154246;114468;20124;0.7421132476693074;27634;7510;39778;0.2717666642541796;0;0;0;
100/100;8;True;0.003563404083251953;5.5512189865112307e-05;0.01572704315185547;0.00012366891772452884;22.494619607925415;200;171;0.855;100;85;14;0.85;100;86;15;0.86;181880;100855;0.5545139652518144;154246;88663;15442;0.5748155543741815;27634;12192;65583;0.4411956285734964;0;0;0;
100/100;9;False;0.008695840835571289;5.8025121688842773e-05;0.013936281204223633;0.0003386356986851018;61.592328786849976;200;172;0.86;100;100;28;1.0;100;72;0;0.72;181880;112481;0.6184352320211128;154246;103126;18279;0.6685813570530192;27634;9355;51120;0.3385322428891945;0;0;0;
100/100;9;True;0.0070018768310546875;0.00016426444053649903;0.03753948211669922;0.00015266427554375318;27.768433332443237;200;179;0.895;100;95;16;0.95;100;84;5;0.84;181880;115917;0.6373268088849791;154246;106561;18278;0.6908509783073791;27634;9356;47685;0.3385684301946877;0;0;0;
